,GEO_ID,NAME,TOTAL POPULATION,TOTAL HOUSING UNITS,STANDARDIZED POPULATION
0,1400000US01001020100,"Census Tract 201, Autauga County, Alabama",1923,779,
1,1400000US01001020200,"Census Tract 202, Autauga County, Alabama",2028,852,
2,1400000US01001020300,"Census Tract 203, Autauga County, Alabama",3476,1397,
3,1400000US01001020400,"Census Tract 204, Autauga County, Alabama",3831,1867,
4,1400000US01001020500,"Census Tract 205, Autauga County, Alabama",9883,4488,
5,1400000US01001020600,"Census Tract 206, Autauga County, Alabama",3705,1413,
6,1400000US01001020700,"Census Tract 207, Autauga County, Alabama",4029,1448,
7,1400000US01001020801,"Census Tract 208.01, Autauga County, Alabama",2826,1224,
8,1400000US01001020802,"Census Tract 208.02, Autauga County, Alabama",11603,4288,
9,1400000US01001020900,"Census Tract 209, Autauga County, Alabama",6401,2472,
10,1400000US01001021000,"Census Tract 210, Autauga County, Alabama",2550,1338,
11,1400000US01001021100,"Census Tract 211, Autauga County, Alabama",2945,1749,
12,1400000US01003010100,"Census Tract 101, Baldwin County, Alabama",4255,2273,
13,1400000US01003010200,"Census Tract 102, Baldwin County, Alabama",3104,1277,
14,1400000US01003010300,"Census Tract 103, Baldwin County, Alabama",9413,3222,
15,1400000US01003010400,"Census Tract 104, Baldwin County, Alabama",4678,2110,
16,1400000US01003010500,"Census Tract 105, Baldwin County, Alabama",5444,1946,
17,1400000US01003010600,"Census Tract 106, Baldwin County, Alabama",3565,1421,
18,1400000US01003010701,"Census Tract 107.01, Baldwin County, Alabama",8324,3480,
19,1400000US01003010703,"Census Tract 107.03, Baldwin County, Alabama",19892,7049,
20,1400000US01003010704,"Census Tract 107.04, Baldwin County, Alabama",5880,2113,
21,1400000US01003010705,"Census Tract 107.05, Baldwin County, Alabama",9744,4532,
22,1400000US01003010800,"Census Tract 108, Baldwin County, Alabama",7036,3018,
23,1400000US01003010903,"Census Tract 109.03, Baldwin County, Alabama",5789,2080,
24,1400000US01003010904,"Census Tract 109.04, Baldwin County, Alabama",6223,2989,
25,1400000US01003010905,"Census Tract 109.05, Baldwin County, Alabama",8181,3743,
26,1400000US01003010906,"Census Tract 109.06, Baldwin County, Alabama",5251,1907,
27,1400000US01003011000,"Census Tract 110, Baldwin County, Alabama",4512,1899,
28,1400000US01003011101,"Census Tract 111.01, Baldwin County, Alabama",11095,4134,
29,1400000US01003011102,"Census Tract 111.02, Baldwin County, Alabama",4385,1880,
30,1400000US01003011201,"Census Tract 112.01, Baldwin County, Alabama",5021,2465,
31,1400000US01003011202,"Census Tract 112.02, Baldwin County, Alabama",6003,3106,
32,1400000US01003011300,"Census Tract 113, Baldwin County, Alabama",4921,2517,
33,1400000US01003011401,"Census Tract 114.01, Baldwin County, Alabama",11287,5457,
34,1400000US01003011403,"Census Tract 114.03, Baldwin County, Alabama",10629,6103,
35,1400000US01003011405,"Census Tract 114.05, Baldwin County, Alabama",4647,8170,
36,1400000US01003011406,"Census Tract 114.06, Baldwin County, Alabama",3098,7538,
37,1400000US01003011407,"Census Tract 114.07, Baldwin County, Alabama",4984,7507,
38,1400000US01003011408,"Census Tract 114.08, Baldwin County, Alabama",620,2698,
39,1400000US01003011501,"Census Tract 115.01, Baldwin County, Alabama",5867,2795,
40,1400000US01003011502,"Census Tract 115.02, Baldwin County, Alabama",12485,6184,
41,1400000US01003011601,"Census Tract 116.01, Baldwin County, Alabama",6216,3022,
42,1400000US01003011602,"Census Tract 116.02, Baldwin County, Alabama",5558,3310,
43,1400000US01003990000,"Census Tract 9900, Baldwin County, Alabama",0,0,
44,1400000US01005950100,"Census Tract 9501, Barbour County, Alabama",2969,1594,
45,1400000US01005950200,"Census Tract 9502, Barbour County, Alabama",3795,1266,
46,1400000US01005950300,"Census Tract 9503, Barbour County, Alabama",1679,863,
47,1400000US01005950400,"Census Tract 9504, Barbour County, Alabama",3822,1434,
48,1400000US01005950500,"Census Tract 9505, Barbour County, Alabama",3587,1990,
49,1400000US01005950600,"Census Tract 9506, Barbour County, Alabama",1946,905,
50,1400000US01005950700,"Census Tract 9507, Barbour County, Alabama",1643,715,
51,1400000US01005950800,"Census Tract 9508, Barbour County, Alabama",2347,1176,
52,1400000US01005950900,"Census Tract 9509, Barbour County, Alabama",3994,1994,
53,1400000US01007010001,"Census Tract 100.01, Bibb County, Alabama",2446,1223,
54,1400000US01007010002,"Census Tract 100.02, Bibb County, Alabama",6041,2537,
55,1400000US01007010003,"Census Tract 100.03, Bibb County, Alabama",4831,2475,
56,1400000US01007010004,"Census Tract 100.04, Bibb County, Alabama",9209,2926,
57,1400000US01009050101,"Census Tract 501.01, Blount County, Alabama",7747,3251,
58,1400000US01009050102,"Census Tract 501.02, Blount County, Alabama",7073,3033,
59,1400000US01009050200,"Census Tract 502, Blount County, Alabama",3870,1581,
60,1400000US01009050300,"Census Tract 503, Blount County, Alabama",4749,2360,
61,1400000US01009050400,"Census Tract 504, Blount County, Alabama",4138,1993,
62,1400000US01009050500,"Census Tract 505, Blount County, Alabama",7455,3119,
63,1400000US01009050601,"Census Tract 506.01, Blount County, Alabama",4183,1568,
64,1400000US01009050602,"Census Tract 506.02, Blount County, Alabama",9414,3652,
65,1400000US01009050700,"Census Tract 507, Blount County, Alabama",9016,3665,
66,1400000US01011952100,"Census Tract 9521, Bullock County, Alabama",1659,906,
67,1400000US01011952200,"Census Tract 9522, Bullock County, Alabama",5753,2275,
68,1400000US01011952500,"Census Tract 9525, Bullock County, Alabama",2940,1345,
69,1400000US01013952700,"Census Tract 9527, Butler County, Alabama",2081,1131,
70,1400000US01013952800,"Census Tract 9528, Butler County, Alabama",1245,663,
71,1400000US01013952900,"Census Tract 9529, Butler County, Alabama",2259,960,
72,1400000US01013953000,"Census Tract 9530, Butler County, Alabama",1640,846,
73,1400000US01013953100,"Census Tract 9531, Butler County, Alabama",3255,1424,
74,1400000US01013953200,"Census Tract 9532, Butler County, Alabama",3385,1926,
